taxa	species	body_size	body_size_st	degree	normalized.degree	betweenness	nested_contribution	betweenness_igraph
beetles	Coprophanaeus.parvulus	0.22	31.42857143	3	0.15789474	0.037334152	1.26645286	0.007364726
beetles	Cryptocanthon.peckorum	0.001	0.142857143	1	0.05263158	0	-0.59805447	0
beetles	Delthochilum.sp.1	0.03	4.285714286	9	0.47368421	0.073712182	-0.57084433	0.078946692
beetles	Delthochilum.sp.2	0.03	4.285714286	2	0.10526316	0.001915433	0.53633838	0.001844702
beetles	Delthochilum.sp.3	0.03	4.285714286	4	0.21052632	0.192958026	0.85055177	0.080930243
beetles	Dichotomius.aff..lucasi	0.08	11.42857143	4	0.21052632	0.037334152	0.55566669	0.01490569
beetles	Dichotomius.boreus	0.7	100	5	0.26315789	0.005946125	-0.1207214	0.049156665
beetles	Dichotomius.mamillatus	0.37	52.85714286	1	0.05263158	0	-0.43045863	0
beetles	Dichotomius.subaeneus	0.26	37.14285714	1	0.05263158	0	-0.51795714	0
beetles	Eurysternus.atrosericus	0.00683	0.975714286	6	0.31578947	0.149623339	1.56344051	0.061717771
beetles	Eurysternus.balachowskyi	0.02743	3.918571429	2	0.10526316	0.0467071	0.94600937	0.008848675
beetles	Eurysternus.caribaeus	0.11	15.71428571	2	0.10526316	0.011586721	0.89860888	0.002431136
beetles	Eurysternus.ventricosus	0.01	1.428571429	1	0.05263158	0	1.68765117	0
beetles	Ontherus.carinifrons	0.04	5.714285714	2	0.10526316	0	-0.5724155	0.001478992
beetles	Onthophagus.rubrescens	0.00373	0.532857143	3	0.15789474	0.009307643	-0.5846857	0.00421045
beetles	Onthophagus.sp.1	0.00663	0.947142857	13	0.68421053	0.050144172	1.11339093	0.159021557
